incident_id,date,state,n_killed,,,,,,,,,,,,,,,,
92391,1/2/14,California,0,,,,,,,,,,,,,,,,
95295,1/2/14,Texas,0,,,,,,,,,,,,,,,,
92698,1/2/14,Texas,0,,,,,,,,,,,,,,,,
95299,1/2/14,Washington,0,,,,,,,,,,,,,,,,
92707,1/2/14,New York,0,,,,,,,,,,,,,,,,
92439,1/2/14,Kentucky,0,,,,,,,,,,,,,,,,
217093,1/2/14,Texas,0,,,,,,,,,,,,,,,,
92878,1/2/14,Florida,0,,,,,,,,,,,,,,,,
92544,1/2/14,Florida,0,,,,,,,,,,,,,,,,
217095,1/2/14,Oregon,0,,,,,,,,,,,,,,,,
92885,1/2/14,Florida,0,,,,,,,,,,,,,,,,
92546,1/2/14,Florida,0,,,,,,,,,,,,,,,,
217096,1/2/14,Maine,0,,,,,,,,,,,,,,,,
92896,1/2/14,Florida,0,,,,,,,,,,,,,,,,
92549,1/2/14,Florida,0,,,,,,,,,,,,,,,,
217097,1/2/14,Arizona,0,,,,,,,,,,,,,,,,
95176,1/2/14,Mississippi,0,,,,,,,,,,,,,,,,
92689,1/2/14,California,0,,,,,,,,,,,,,,,,
95694,1/2/14,Mississippi,1,,,,,,,,,,,,,,,,
92447,1/2/14,Kentucky,0,,,,,,,,,,,,,,,,
107101,1/2/14,Kansas,0,,,,,,,,,,,,,,,,
92406,1/2/14,New Jersey,0,,,,,,,,,,,,,,,,
92898,1/2/14,Colorado,1,,,,,,,,,,,,,,,,
92515,1/2/14,Virginia,0,,,,,,,,,,,,,,,,
92584,1/2/14,Louisiana,0,,,,,,,,,,,,,,,,
92463,1/2/14,Tennessee,0,,,,,,,,,,,,,,,,
92261,1/2/14,Michigan,0,,,,,,,,,,,,,,,,
92168,1/2/14,Ohio,1,,,,,,,,,,,,,,,,
95293,1/2/14,Michigan,0,,,,,,,,,,,,,,,,
95297,1/2/14,Oklahoma,0,,,,,,,,,,,,,,,,
92752,1/2/14,Pennsylvania,1,,,,,,,,,,,,,,,,
217094,1/2/14,Texas,0,,,,,,,,,,,,,,,,
92647,1/2/14,Texas,1,,,,,,,,,,,,,,,,
92241,1/2/14,Virginia,0,,,,,,,,,,,,,,,,
92554,1/2/14,Florida,0,,,,,,,,,,,,,,,,
92441,1/2/14,Kentucky,0,,,,,,,,,,,,,,,,
92645,1/2/14,Texas,1,,,,,,,,,,,,,,,,
92715,1/2/14,Texas,0,,,,,,,,,,,,,,,,
92319,1/2/14,Iowa,0,,,,,,,,,,,,,,,,
103028,1/2/14,Connecticut,0,,,,,,,,,,,,,,,,
92259,1/2/14,Michigan,0,,,,,,,,,,,,,,,,
92727,1/2/14,New Jersey,1,,,,,,,,,,,,,,,,
92299,1/2/14,West Virginia,2,,,,,,,,,,,,,,,,
103020,1/2/14,Nevada,0,,,,,,,,,,,,,,,,
92571,1/2/14,Mississippi,1,,,,,,,,,,,,,,,,
92582,1/2/14,Louisiana,0,,,,,,,,,,,,,,,,
92268,1/2/14,Georgia,0,,,,,,,,,,,,,,,,
97819,1/2/14,Alabama,1,,,,,,,,,,,,,,,,
92465,1/2/14,North Carolina,0,,,,,,,,,,,,,,,,
92721,1/2/14,Texas,0,,,,,,,,,,,,,,,,
93413,1/3/14,Texas,0,,,,,,,,,,,,,,,,
92704,1/3/14,New York,1,,,,,,,,,,,,,,,,
96088,1/3/14,Kentucky,0,,,,,,,,,,,,,,,,
